RANGO DIST,RENOVACIÒ,TIPO DE RI,BLOQUE COS,mean,DISTANCIAM,CICLO,FECHA CORT,TIPO COSEC,AREA CAÑA,FINCA,TCH 23-24,EDAD COSEC,FECHA CO_1,VARIEDAD,Name,ESTIMADO 2,TIPO DE SU,OBJECTID,FECHA COSE,UBICACIÒN,Area Calc,EDAD HOY,DISTRITO,fid,ESTATUS,TIPO DE CO,SEMAN COSE,SEMANA COS,LOTE_ID
<10,,SEMIFIJO,RAL BLOQ1,0.16539440996384128,1.6,R-5,12/19/2023,MANUAL,4.38,RANCHO ALEGRE,130.13,12.07,12/19/2023,CP73-1547,RAL001,125,FARC,536,12/15/2024,CENTRO,4.381,252,D32,355,Comercial,COSECHA MECANICA,3,3,RAL001
<10,,SEMIFIJO,RAL BLOQ1,0.1952135526734748,1.5,R-2,12/21/2023,COSECHA MECANICA,6.14,RANCHO ALEGRE,105.39,12,12/21/2023,CP73-1547,RAL002,107,FARC,537,12/15/2024,CENTRO,6.141,250,D32,356,Comercial,COSECHA MECANICA,3,3,RAL002
<10,,SEMIFIJO,RAL BLOQ1,0.19701025048387807,1.6,R-4,12/20/2023,COSECHA MECANICA,7.09,RANCHO ALEGRE,134.18,12.03,12/20/2023,CP72-2086,RAL003,120,FARC,538,12/15/2024,CENTRO,7.093,251,D32,357,Comercial,COSECHA MECANICA,3,3,RAL003
<10,,SEMIFIJO,RAL BLOQ1,0.5235422825513498,1.6,R-4,12/18/2023,COSECHA MECANICA,13.37,RANCHO ALEGRE,122.43,12.1,12/18/2023,CP72-2086,RAL004,120,FARC,539,12/15/2024,CENTRO,7.263,253,D32,358,Comercial,MANUAL,3,3,RAL004
<10,,SEMIFIJO,RAL BLOQ1,0.5833950659955452,1.6,R-4,12/18/2023,COSECHA MECANICA,13.37,RANCHO ALEGRE,122.43,12.1,12/18/2023,CP72-2086,RAL004,120,FARC,540,12/15/2024,CENTRO,6.116,253,D32,359,Comercial,MANUAL,3,3,RAL004
<10,,SEMIFIJO,RAL BLOQ2,0.43532944074862157,1.6,R1,12/07/2023,COSECHA MECANICA,10.82,RANCHO ALEGRE,114.88,12.23,12/07/2023,CP72-2086,RAL005,115,ARC,541,12/08/2024,CENTRO,7.358,264,D32,360,Comercial,MANUAL,1,2,RAL005
<10,,SEMIFIJO,RAL BLOQ2,0.41663473275014934,1.6,R1,12/07/2023,COSECHA MECANICA,10.82,RANCHO ALEGRE,114.88,12.23,12/07/2023,CP72-2086,RAL005,115,ARC,542,12/08/2024,CENTRO,3.473,264,D32,361,Comercial,MANUAL,1,2,RAL005
<10,,SEMIFIJO,RAL BLOQ2,0.15177122379039215,1.6,R1,12/07/2023,COSECHA MECANICA,7.37,RANCHO ALEGRE,114.36,12.23,12/07/2023,CP72-2086,RAL006,115,FARC,543,12/08/2024,CENTRO,7.371,264,D32,362,Comercial,MANUAL,1,2,RAL006
<10,,SEMIFIJO,RAL BLOQ2,0.13348746465277045,1.6,R1,12/06/2023,COSECHA MECANICA,6.82,RANCHO ALEGRE,115.79,12.27,12/06/2023,CP72-2086,RAL007,115,FARC,544,12/08/2024,CENTRO,6.823,265,D32,363,Comercial,COSECHA MECANICA,1,2,RAL007
<10,,SEMIFIJO,RAL BLOQ2,0.17426023862473475,1.5,R1,12/23/2023,COSECHA MECANICA,7.45,RANCHO ALEGRE,128.16,11.93,12/23/2023,CP73-1547,RAL008,125,FARC,545,12/15/2024,CENTRO,7.455,248,D32,364,Comercial,COSECHA MECANICA,4,3,RAL008
